type	latitude	longitude	altitude (m)	name
W	41.814057094	-121.868508516	1600.4	618
W	41.814057094	-121.827186013	1443.2	619
W	41.814057094	-121.785863510	1475.4	620
W	41.814057094	-121.744541007	1293.3	621
W	41.814057094	-121.703218504	1595.9	622
W	41.814057094	-121.661896001	1380.1	623
W	41.814057094	-121.620573498	1304.2	624
W	41.814057094	-121.579250995	1314.1	625
W	41.814057094	-121.537928492	1242.4	626
W	41.814057094	-121.496605989	1251.2	627
W	41.814057094	-121.455283486	1253.4	628
W	41.814057094	-121.413960982	1229.1	629
W	41.814057094	-121.372638479	1231.0	630
W	41.814057094	-121.331315976	1263.0	631
W	41.814057094	-121.289993473	1268.0	632
W	41.814057094	-121.248670970	1491.4	633
W	41.814057094	-121.207348467	1407.7	634
W	41.814057094	-121.166025964	1366.6	635
W	41.814057094	-121.124703461	1366.6	636
W	41.814057094	-121.083380958	1385.0	637
W	41.814057094	-121.042058455	1397.5	638
W	41.814057094	-121.000735952	1430.2	639
